label,mae,mean_counts,mape
Mechelen - Nekkerspoel voetgangersbrug,660.524904219479,,
Mechelen - Nekkerspoel voetgangersbrug,660.524904219479,3749.4,17.6
Duffel - Onze-Lieve-Vrouwlaan/Netebrug,669.0590835591136,,
Duffel - Onze-Lieve-Vrouwlaan/Netebrug,669.0590835591136,3554.1,18.8
Antwerpen FR10 Zurenborgbrug,675.3758001986315,2651.4,25.5
Antwerpen FR10 Zurenborgbrug,675.3758001986315,,
Antwerpen F1 Fietsbrug Berchem Station,683.9757531948196,,
Antwerpen F1 Fietsbrug Berchem Station,683.9757531948196,3230.0,21.2
Leuven - Vesaliusstraat,708.9507912165292,,
Leuven - Vesaliusstraat,708.9507912165292,3816.3,18.6
Antwerpen FR10 Ernest Van Dijckkaai,770.497102583999,4020.9,19.2
Antwerpen FR10 Ernest Van Dijckkaai,770.497102583999,,
Antwerpen - Mercatorstraat,814.1500582874321,,
Antwerpen - Mercatorstraat,814.1500582874321,5785.5,14.1
Gent - Louisa d'Havébrug,916.3061024497842,,
Gent - Louisa d'Havébrug,916.3061024497842,6242.9,14.7
Brugge F32 Passantenfietsbrug,918.175807241613,,
Brugge F32 Passantenfietsbrug,918.175807241613,6354.1,14.5
Mechelen - Neckerspoelstraat N15,929.9069875930795,2656.2,35.0
Mechelen - Neckerspoelstraat N15,929.9069875930795,,
